FlightNumber,Date,BoosterVersion,LaunchSite,Latitude,Longitude,Outcome,Flights,GridFins,Reused,Legs,LandingPad,PayloadMass,Orbit
1,2010-06-04,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,6104.959411764706,LEO
2,2012-05-22,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,525.0,LEO
3,2013-03-01,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,677.0,ISS
4,2013-09-29,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,False Ocean,1,False,False,False,,500.0,PO
5,2013-12-03,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,3170.0,GTO
6,2014-01-06,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,3325.0,GTO
7,2014-04-18,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True Ocean,1,False,False,True,,2296.0,ISS
8,2014-07-14,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True Ocean,1,False,False,True,,1316.0,LEO
9,2014-08-05,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,4535.0,GTO
10,2014-09-07,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,4428.0,GTO
11,2014-09-21,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,False Ocean,1,False,False,False,,2216.0,ISS
12,2015-01-10,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,2395.0,ISS
13,2015-02-11,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True Ocean,1,True,False,True,,570.0,ES-L1
14,2015-04-14,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1898.0,ISS
15,2015-04-27,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,4707.0,GTO
16,2015-06-28,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2477.0,ISS
17,2015-12-22,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2034.0,LEO
18,2016-01-17,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,553.0,PO
19,2016-03-04,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5271.0,GTO
20,2016-04-08,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3136.0,ISS
21,2016-05-06,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4696.0,GTO
22,2016-05-27,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3100.0,GTO
23,2016-07-18,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2257.0,ISS
24,2016-08-14,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4600.0,GTO
25,2016-09-01,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5500.0,GTO
26,2017-01-14,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,9600.0,PO
27,2017-02-19,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2490.0,ISS
28,2017-03-16,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,None None,1,False,False,False,,5600.0,GTO
29,2017-03-30,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5300.0,GTO
30,2017-05-01,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,6104.959411764706,LEO
31,2017-05-15,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,None None,1,False,False,False,,6070.0,GTO
32,2017-06-03,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2708.0,ISS
33,2017-06-23,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3669.0,GTO
34,2017-06-25,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,9600.0,PO
35,2017-07-05,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,None None,1,False,False,False,,6761.0,GTO
36,2017-08-14,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2910.0,ISS
37,2017-08-24,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,475.0,SSO
